TID GID GT TTy ReqT TAr TT Res
547	 235	 1	 C	 235	 235	 1	 B	
548	 202	 3	 D	 202	 218	 18	 S	
549	 219	 1	 D	 219	 221	 16	 S	
550	 236	 1	 C	 236	 236	 1	 B	
551	 196	 2	 P	 196	 196	 41	 A	
552	 220	 1	 D	 220	 222	 16	 S	
553	 196	 2	 C	 196	 237	 1	 B	
554	 203	 3	 D	 203	 222	 17	 S	
555	 238	 1	 C	 238	 238	 1	 B	
556	 197	 2	 P	 197	 197	 43	 A	
557	 179	 4	 D	 179	 223	 17	 S	
558	 239	 1	 C	 239	 239	 1	 B	
559	 197	 2	 C	 197	 240	 1	 A	
560	 222	 1	 D	 222	 223	 18	 S	
561	 240	 1	 C	 240	 240	 1	 B	
562	 224	 1	 D	 224	 226	 16	 S	
563	 241	 1	 C	 241	 241	 1	 B	
564	 210	 5	 D	 210	 227	 16	 S	
565	 204	 2	 P	 204	 204	 40	 A	
566	 227	 3	 A	 227	 227	 17	 B	
567	 225	 1	 D	 225	 227	 17	 S	
568	 243	 1	 C	 243	 243	 2	 A	
569	 204	 2	 C	 204	 244	 1	 B	
570	 182	 4	 D	 182	 228	 17	 S	
571	 226	 1	 D	 226	 228	 18	 S	
572	 227	 3	 C	 227	 244	 2	 A	
573	 244	 1	 C	 244	 244	 2	 B	
574	 228	 1	 D	 228	 229	 18	 S	
575	 245	 1	 C	 245	 245	 2	 A	
576	 229	 1	 D	 229	 230	 18	 S	
